enjoy |【動】を楽しむ
fat |【形】太った（⇔thin →891）；脂肪が多い
thin |【形】細い；やせた（⇔fat →890）；薄い（⇔thick 厚い →1615）
pale |【形】（顔色が）青白い
thirsty |【形】喉の渇いた
blind |【形】目の見えない
tear |【名】涙
sweat |【名】汗
sight |【名】視力；視野；光景
hospital |【名】病院
ambulance |【名】救急車
wheelchair |【名】車椅子
patient |【名】患者
sick |【形】病気の（≒ill →1359，⇔well 健康で →1358）；吐き気がする；うんざりした
disease |【名】病気（≒sickness，illness →904）
illness |【名】病気
headache |【名】頭痛；悩みの種
cancer |【名】癌
pain |【名】痛み，苦痛
injure |【動】を傷つける，痛める
cure |【動】を治療する（≒heal）
medicine |【名】薬；医学
breathe |【動】呼吸する
stare |【動】見つめる
touch |【動】に触れる
pat |【動】をぽんとたたく
shout |【動】叫ぶ
scream |【動】金切り声を上げる
whistle |【動】口笛を吹く
whisper |【動】ささやく（≒murmur つぶやく）
bow |【動】おじぎをする
nod |【動】うなずく
bend |【動】を曲げる，かがめる
forehead |【名】額
eyebrow |【名】眉，眉毛
cheek |【名】頬
lip |【名】唇
tongue |【名】舌；言語
tooth |【名】歯
beard |【名】顎ひげ
throat |【名】喉
neck |【名】首
shoulder |【名】肩
chest |【名】胸
waist |【名】腰，ウエスト
elbow |【名】肘
palm |【名】手のひら
finger |【名】（手の）指
thumb |【名】（手の）親指
nail |【名】爪；くぎ
knee |【名】膝
lap |【名】膝；（走路の）1周
skin |【名】皮膚，肌；（動物の）皮
cell |【名】細胞
brain |【名】脳；頭脳；知的な人
heart |【名】心臓；心；中心
lung |【名】肺
stomach |【名】胃；腹
blood |【名】血液；血統
bone |【名】骨
organ |【名】臓器，器官；オルガン
muscle |【名】筋肉
emotion |【名】感情
mental |【形】心の（⇔physical →886）
upset |【動】を動揺させる
nervous |【形】神経質な，緊張して；心配して
lonely |【形】寂しい，孤独な
afraid |【形】恐れて，怖がって
pleasant |【形】楽しい
suffer |【動】苦しむ；を被る
sorrow |【名】悲しみ
shock |【動】に衝撃を与える
stress |【名】ストレス，緊張
anger |【名】怒り
joy |【名】喜び
delight |【動】を大喜びさせる
relieve |【動】を和らげる
relax |【動】をくつろがせる；ゆったりする
satisfy |【動】を満足させる
excite |【動】を興奮させる
surprise |【動】を驚かせる
puzzle |【動】を困らせる
disappoint |【動】をがっかりさせる
scare |【動】を怖がらせる
character |【名】性格；特徴；登場人物；文字
humor |【名】ユーモア
strict |【形】厳しい
shy |【形】恥ずかしがりの
cheerful |【形】元気な
friendly |【形】友好的な，親切な
gentle |【形】優しい
calm |【形】落ち着いた；穏やかな
lively |【形】元気な；活発な
positive |【形】前向きな；肯定的な（⇔negative →983）
negative |【形】否定的な；消極的な（⇔positive →982）
active |【形】積極的な；活動的な
lazy |【形】怠惰な
message |【名】伝言，メッセージ
communication |【名】コミュニケーション，意思の疎通
conversation |【名】会話，話し合い
chat |【動】おしゃべりをする
mail |【名】郵便；メール
interview |【名】面接；インタビュー
translate |【動】（を）翻訳する
argue |【動】（を）議論する；と主張する
claim |【動】と主張する；（自分の所有物として）を要求する
quarrel |【動】口論する
praise |【動】を褒める
state |【動】を述べる
describe |【動】（状況など）を説明する
refer |【動】言及する；参照する
predict |【動】を予言する（≒forecast）
comment |【名】論評，意見
term |【名】（専門）用語；期間；学期
publish |【動】を出版する
novel |【名】（長編）小説
fiction |【名】フィクション，（架空の）物語；作り話
essay |【名】小論文；随筆
newspaper |【名】新聞（≒paper →1253）
magazine |【名】雑誌
journal |【名】定期刊行物；（専門）雑誌；日誌
article |【名】記事；品物
title |【名】題名；肩書き
poem |【名】（1編の）詩
tale |【名】話，物語
education |【名】教育
knowledge |【名】知識
master |【動】を習得する
textbook |【名】教科書
dictionary |【名】辞書
subject |【名】科目；主題（≒theme →407，topic →1586）
literature |【名】文学
mathematics |【名】数学
biology |【名】生物学
history |【名】歴史
lecture |【名】講義
grade |【名】成績，評点；等級；学年
elementary |【形】初等の
primary |【形】初期の
college |【名】（単科）大学；専門学校
university |【名】（総合）大学
enter |【動】に入学する；に入る
attend |【動】に出席する；（病人など）を世話する
absent |【形】欠席の（⇔present 出席している →1310）
graduate |【動】卒業する
homework |【名】宿題
pupil |【名】生徒，児童；弟子
scholar |【名】学者
science |【名】科学，理科
technology |【名】科学技術
web |【名】（the W-）（インターネットの）ウェブ；クモの巣
machine |【名】機械
automatic |【形】自動の（⇔manual 手動の）
experiment |【名】実験
advance |【名】進歩；前進
chemical |【形】化学（上）の
oxygen |【名】酸素
invent |【動】を発明する
operate |【動】を操作する；手術する
artificial |【形】人工の（⇔natural 自然の）
material |【名】材料，原料；資料；生地
resource |【名】資源
energy |【名】エネルギー；活力
fuel |【名】燃料
electricity |【名】電気；電力
battery |【名】電池，バッテリー
oil |【名】石油（≒petroleum）；油
gas |【名】ガス；ガソリン（≒gasoline）；気体
coal |【名】石炭
steam |【名】蒸気
steel |【名】鋼鉄
metal |【名】金属
solar |【形】太陽の
nuclear |【形】核（エネルギー）の；原子力の
earth |【名】地球；地面，地上
planet |【名】惑星
universe |【名】宇宙；全世界
satellite |【名】人工衛星，衛星
astronaut |【名】宇宙飛行士
telescope |【名】望遠鏡
economy |【名】経済；節約
industry |【名】産業，工業
factory |【名】工場
employ |【動】を雇う
wage |【名】賃金
commercial |【形】商業的な，営利的な；商業上の
advertise |【動】を広告する，宣伝する
price |【名】価格；（～s）物価
sale |【名】特売；販売；（～s）売上（高）
cash |【名】現金
earn |【動】（を）稼ぐ；（報酬・名声など）を得る
tax |【名】税金
benefit |【名】利益，ため
profit |【名】利益，もうけ
wealth |【名】財産，富
poverty |【名】貧困
cheap |【形】安い（⇔expensive →1086）
expensive |【形】高価な（⇔cheap →1085）；費用のかかる
trade |【名】貿易；取引；交換
import |【動】を輸入する（⇔export →1089）
export |【動】を輸出する（⇔import →1088）
society |【名】社会；協会；社交界
community |【名】地域社会；地域住民；共同体
organization |【名】組織；団体
committee |【名】委員会；委員
global |【形】地球規模の，全世界の
charity |【名】慈善事業；慈善団体
civil |【形】市民の，民間の
ethnic |【形】民族の；エスニックの
citizen |【名】市民；国民
law |【名】法律；...法
arrest |【動】を逮捕する
crime |【名】犯罪
punish |【動】を罰する
steal |【動】を盗む
thief |【名】泥棒
victim |【名】犠牲（者），被害者
government |【名】政府；政治
international |【形】国際的な，国家間の
border |【名】国境；境界線
nation |【名】国家，国；（the ～）国民
capital |【名】首都；中心地；資本；大文字
election |【名】選挙
president |【名】大統領；社長；学長
minister |【名】大臣
refugee |【名】難民；亡命者
war |【名】戦争（≒battle →530，⇔peace 平和 →1268）
military |【形】軍事上の，軍隊の
army |【名】軍隊；陸軍
soldier |【名】兵士；軍人
weapon |【名】武器，兵器
bomb |【名】爆弾
break out |（戦争・災害などが）勃発する，起こる
come across |をふと見つける，に偶然出会う（≒run across）
come along （with） |（において）うまく進む；（と）一緒に来る［行く］
come out |現れる，出てくる；明らかになる
come［get］ to do |～するようになる
come true |実現する
come up （to） |（に）近づく（≒approach →1213）；（に）達する
come up with |を思いつく
count on［upon］ |に頼る，を当てにする
cut down［back］ （on） |（数量などを）削減する
die out |絶滅する；消滅する
do A good（＝do good to A） |A（人）のためになる，Aに効く
do well |うまくいく，成功する
do without |なしですます
drop in［by］ |（を）ちょっと訪ねる，（に）ちょっと立ち寄る
eat out |外食する（⇔eat in 家で食事をする）
fall on |（ある特定の日が）に当たる
feel free to do |自由に～する
feel like doing |～したい気がする
get along （with） |（と）仲よくやっていく；（と）暮らしていく
get lost |道に迷う（≒lose one's way）
get out of |から抜け出す，出る；（車など）を降りる
get over |から回復する；を克服する
get through |（困難など）を切り抜ける；を通り抜ける
give in （to） |（に）屈する；（に）を提出する
give out |を配る，知らせる；（光・熱など）を発する（≒give off）
give way （to） |（に）道を譲る；（に）譲歩する；（に）取って代わられる
go along with |に賛成する，を支持する；と一緒に行く
go off |立ち去る；（銃が）発砲される；（警報などが）鳴る
had better do |～するべきだ，する方がよい
hand down A （to B） |（Bに）Aを伝える，残す
head for |に向かう（＝be headed for）
learn to do |～する［できる］ようになる；～の仕方を学ぶ
live on［upon］ |（金額・収入）で暮らしを立てる；を常食とする
long for |を切望する，思い焦がれる
look back on |を振り返る，回顧する
look into |を調べる；をのぞき込む
look over |をざっと調べる，に目を通す
look up to |を尊敬する（≒respect →261，⇔look down on を見下す）
make a difference （to） |（に）影響する；（にとって）重要である
make a［one's］ living |生計を立てる（≒earn a［one's］ living）
make for |に寄与する；の方へ進む
make one's way |進む；出世する
make out |を理解する（≒understand →1200）
make up |を構成する；（に）化粧する；（話）をでっち上げる
make use of |を利用する，使う
point out |を指摘する
put off |を延期する
put together |を組み立てる，まとめる（⇔take apart を分解する）
put up with |を我慢する（≒stand →17，bear →285）
run out （of） |（を）使い果たす，切らす
stand for |を表す，象徴する；を支持する
stand out |目立つ，ずば抜けている
take A for B |AをBだと思う，思い違いをする
take place |（事が）起こる，行われる
take the place of A（＝take A's place） |Aに取って代わる
take up |（仕事・趣味など）を始める；を取り上げる
tell A from B |AをBと区別する
work on |（仕事など）に取り組む
work out |（問題）を解く；を計算する
turn |【動】...になる；向きを変える；を回す
remain |【動】...のままである；残る
taste |【動】...の味がする；の味を見る；を味わう
smell |【動】...のにおいがする
leave |【動】を残しておく；のままにしておく；を去る
show |【動】を見せる，示す；を案内する
bring |【動】を持って来る，連れて来る
pay |【動】（金）を支払う；（注意・敬意）を払う
choose |【動】を選ぶ
pass |【動】を手渡す；（を）通り過ぎる；（に）合格する
sell |【動】を売る
send |【動】を送る；を伝える
offer |【動】を申し出る；を提供する
lend |【動】を貸す（⇔borrow →124）
call |【動】を呼ぶ；（に）電話する；ちょっと訪ねる
find |【動】だとわかる［思う］；を見つける
keep |【動】を保つ；を保持する；をとっておく
know |【動】を知っている，わかっている
believe |【動】（を）信じる
understand |【動】（を）理解する，（が）わかる（≒make out →1164）
fear |【動】を恐れる，怖がる
exist |【動】存在する
notice |【動】に気づく
contain |【動】を含む（≒include →1463）
hate |【動】を憎む，ひどく嫌う；を残念に思う
lie |【動】横たわる；に位置する
lay |【動】を置く，横たえる；（鳥などが卵）を産む
rise |【動】上がる；昇る（⇔set 沈む →1461）
raise |【動】を上げる；を育てる；栽培する；（お金など）を集める
agree |【動】意見が一致する（⇔disagree →1211）；同意する
disagree |【動】意見が合わない（⇔agree →1210）
marry |【動】と結婚する
approach |【動】に近づく，接近する（≒come up （to） →1127）
discuss |【動】について議論［検討］する
complain |【動】不平［苦情］を言う
suggest |【動】を提案する；を暗示する
propose |【動】を提案する；結婚を申し込む
demand |【動】を（強く）要求する
request |【動】を頼む，要請する
order |【動】を命じる；を注文する
seem |【動】のように思える
appear |【動】のように見える［思える］；現れる（⇔disappear →284）
happen |【動】（偶然）起こる（≒occur →393）
prove |【動】と判明する；を証明する
ask |【動】に頼む；に尋ねる
expect |【動】を期待する；を予期する
permit |【動】（を）許す
warn |【動】に警告［注意］する
care |【動】したいと思う；気遣う；を気にかける
decide |【動】を決心［決定］する（≒make up one's mind →1654）
desire |【動】を強く望む
promise |【動】を約束する
manage |【動】をなんとかやり遂げる；を管理［運営］する；をうまく扱う
refuse |【動】を断る，拒否する（≒turn down →1664，⇔accept →263）
stop |【動】をやめる；を止める；止まる；立ち止まる
mind |【動】を気にする，嫌がる
consider |【動】（を）よく考える
finish |【動】を終える；終わる（⇔begin を始める；始まる →1246）
avoid |【動】を避ける
miss |【動】をし損なう；に乗り遅れる；がいないのを寂しく思う
escape |【動】（を）逃れる，免れる
admit |【動】を認める（⇔deny →1243）
deny |【動】を否定する（⇔admit →1242）
like |【動】が好きである，を好む（≒be fond of →565）
start |【動】を始める；始まる（≒begin →1246）；出発する
begin |【動】を始める；始まる（≒start →1245，⇔finish →1238，end 終わる →1478）
continue |【動】を続ける；続く
try |【動】しようと試みる；試しに～してみる
remember |【動】を忘れずにする；を覚えている（⇔forget →1250）
forget |【動】を忘れる（⇔remember →1249）
mean |【動】するつもりである；を意味する
air |【名】空気；大気
paper |【名】紙；新聞（≒newspaper →1007）
iron |【名】鉄；アイロン
cloth |【名】布；（可算名詞で）（ある用途の）布切れ，テーブルクロス
police |【名】警察官，警官隊；（the ～）（組織としての）警察
audience |【名】聴衆，観客
staff |【名】スタッフ，職員
stuff |【名】（漠然とした）物，事；（one's ～）（個人の）所有物
furniture |【名】家具
baggage |【名】手荷物（＝【英】luggage）
information |【名】情報；案内
ability |【名】能力；才能，技能
death |【名】死（⇔birth →879）
attention |【名】注意，注目；配慮；思いやり
freedom |【名】自由
advice |【名】助言，忠告
peace |【名】平和（⇔war →1115）；平穏
beauty |【名】美，美しさ
habit |【名】（個人的な）習慣，癖
custom |【名】（社会的な）慣習
climate |【名】気候
guest |【名】客，招待客（⇔host →39）；宿泊客
customer |【名】（店の）客，顧客
fare |【名】運賃
fee |【名】料金；謝礼
appointment |【名】（会う）約束，（医者・美容院などの）予約；任命，指名
idea |【名】考え，アイディア
fact |【名】事実，現実
opinion |【名】意見，見解
belief |【名】信念，確信
feeling |【名】気持ち，感情；感覚
evidence |【名】証拠
each |【代】それぞれ
other |【代】（the ～）（2つのうちの）もう一方，（3つ以上のうちの）その他の物［人］；ほかの物［人］
another |【代】（同類の中の）別の物［人］；（同類の中の）もう1つ［1人］
both |【代】両方
either |【代】（2つのうちの）どちらか，どちらでも
neither |【代】（2つの）どちらも...ない
everything |【代】すべての物［事］
anything |【代】（否定文で）何も（...ない）；（疑問文・条件文で）何か；（肯定文で）何でも
something |【代】何か
nothing |【代】何も...ない
everyone |【代】みんな（≒everybody）
anyone |【代】（疑問文・条件文で）だれか；（否定文で）だれも（...ない）；（肯定文で）だれでも（≒anybody）
someone |【代】だれか，ある人（≒somebody）
nobody |【代】だれも...ない（≒no one）
none |【代】だれも［何も］...ない
only |【形】（the ～，one's ～）唯一の，たった1つ［1人］の【副】ただ...だけ，単に（≒no more than →1688）
main |【形】主な，主要な
daily |【形】毎日の，日々の；日ごとの
former |【形】以前の，元の（⇔latter 後の；後者の）
alone |【形】ただ1人で；...だけ；孤独で
aware |【形】気づいて
alive |【形】生きている（⇔dead →885）
asleep |【形】眠って（⇔awake →1307）
awake |【形】目を覚まして（⇔asleep →1306）
alike |【形】似ている，同様な
right |【形】（叙述用法で）（判断・行動などが）正しい；（限定用法で）右の（⇔left 左の）；（答え・時間などが）正確な（⇔wrong 間違った →1332）
present |【形】（叙述用法で）出席している（⇔absent →1032）；（限定用法で）現在の
certain |【形】（叙述用法で）（人が）確信して；（限定用法で）ある；一定の；（物事が）確実な
able |【形】できる（⇔unableできない）
sure |【形】確信して
difficult |【形】難しい（⇔easy 易しい）
likely |【形】ありそうな（⇔unlikely ありそうもない）
sorry |【形】気の毒に［残念に］思って；すまなく思って
dangerous |【形】危険な（⇔safe →87）
impossible |【形】不可能な（⇔possible 可能な →1520）
ready |【形】準備［用意］のできた
comfortable |【形】（物が）快適な；（人が）くつろいだ
eager |【形】熱望して；熱心な
polite |【形】礼儀正しい，丁寧な（⇔impolite，rude →1323）
rude |【形】失礼な（⇔polite →1322）
wise |【形】賢明な，賢い（⇔foolish →1328）
clever |【形】利口な（⇔dull →446，stupid →1327）；ずる賢い
silly |【形】愚かな，ばかげた
stupid |【形】愚かな，ばかげた（⇔clever →1325）
foolish |【形】愚かな，ばかげた（⇔wise →1324）
careless |【形】不注意な（⇔careful →82）
brave |【形】勇敢な
important |【形】重要な
wrong |【形】間違った（⇔right →1309）；悪い；（体調などが）思わしくない
necessary |【形】必要な；必然の
strange |【形】奇妙な，不思議な；見知らぬ
few |【形】（無冠詞で）ほとんどない；（a ～）少数の
little |【形】（無冠詞で）ほとんどない；（a ～）少量の；小さい
hardly |【副】ほとんど...ない（≒scarcely，almost not）
seldom |【副】めったに...ない（≒rarely，hardly ever →1337，⇔often）
recently |【副】最近（≒nowadays，these days →607）
lately |【副】最近
ever |【副】これまでに；ずっと
once |【副】1度［回］；かつて
twice |【副】2度［回］；2倍
just |【副】たった今；ちょうど；単に
yet |【副】（否定文で）まだ（...ない）；（疑問文で）もう
already |【副】（肯定文で）もう，すでに
sometimes |【副】時々（≒at times →587，from time to time →595）
usually |【副】たいてい
always |【副】いつも，必ず
almost |【副】ほとんど，ほぼ；もう少しで
nearly |【副】ほとんど，ほぼ；もう少しで
abroad |【副】海外に［で］，国外に［で］（≒overseas →1636）
upstairs |【副】上の階に［へ］（⇔downstairs 下の階に［へ］）
perhaps |【副】（文修飾）もしかしたら；おそらく
actually |【副】（文修飾）実は，実際は（≒in fact →1417）；（動詞を強調して）実際に
fortunately |【副】（文修飾）幸運にも（⇔unfortunately 不幸にも）
especially |【副】特に
well |【副】よく，十分に；うまく
ill |【形】病気で（⇔well →1358）；悪い
far |【副】（距離が）遠くに［へ］；（程度・時間が）はるかに，ずっと
late |【形】遅れた（⇔early →74）；遅い；後半の，後期の
prefer |【動】の方を好む
junior |【形】年下の（⇔senior →1364）；下位［下級］の
senior |【形】年上の（⇔junior →1363）；高齢者の；上位［上級］の
nor |【接】（否定語の後で）もまた...ない
whether |【接】...かどうか；...であろうとなかろうと
while |【接】...している間に；...の一方で
though |【接】...だけれども
although |【接】...だけれども
unless |【接】...でない限り，もし...でなければ
whenever |【接】...するときはいつでも；いつ...しようとも
wherever |【接】...する所ならどこでも；どこで［へ］...しようとも
whatever |【代】（たとえ）何が［何を］...しても；...する［である］ものは何でも
whichever |【代】（たとえ）どちらが［どちらを］...しても；...する［である］ものはどちらでも
cause |【動】を引き起こす（≒bring about →1641）
allow |【動】を許す，可能にする
force |【動】を強いる
cost |【動】（金額・時間など）がかかる；を失わせる，犠牲にさせる
protect |【動】を守る，保護する（≒preserve →279）
prevent |【動】を妨げる，中止させる
bring up |（子供）を育てる
call for |を（呼び）求める；を要求する；を必要とする
call off |を中止する，取り消す（≒cancel →775）
call on |（人）を訪問する
go wrong |（計画などが）失敗する；故障する
have A in mind |Aを考慮している
pay［give］ attention to |に注意を払う
reflect on［upon］ |について熟考する
show up |（人が）現れる，やって来る
take care of |の世話をする，に気をつける（≒look after →212）；を処理する
try on |（服など）を試着する
turn A into B |AをBに変える（≒change A into B）
turn off |（電気器具など）を消す，（水など）を止める（⇔turn on →1394）
turn on |（電気器具など）をつける，（水・ガスなど）を出す（≒put on →220，⇔turn off →1393）
turn out （to be） |であることがわかる；（結果として）...となる
turn over |をひっくり返す，裏返す
be associated with |を連想させる；と関係がある
be crowded with |で混雑している
be involved in |にかかわっている，巻き込まれている
be known to |に知られている
be late for |に遅れる
be unable to do |～することができない（≒not be able to do）
as well |...もまた，同じように
at a loss |途方に暮れて；損をして
at （the） most |せいぜい，多くても（⇔at least 少なくとも →1668）
at once |直ちに，すぐに（≒immediately →1633）；同時に
at present |現在（は），目下（≒now）
by nature |生まれつき
far from |...どころではない，少しも...でない（≒not ... at all）
for a while |しばらくの間
for nothing |無料で（≒for free →242）；無駄に
for sure［certain］ |確かに
for the sake of A （＝for A's sake） |Aのために
in a［one］ way |ある意味で（は）
in advance |あらかじめ；前金で
in danger （of） |（の）危険があって，恐れがあって
in fact |実際は［に］（≒actually →1355）；ところが
in order to do |～するために
in other words |言い換えれば，つまり
in search of |を探して，求めて
in the first place |（文末で）そもそも；（文頭で）まず第1に（≒to begin［start］ with →1432）
in turn |順番に，代わる代わる；その結果
later on |後になって（⇔earlier［early］ on 早くから）
little by little |少しずつ（≒gradually →1634）
no doubt |たぶん；確かに
no longer |もはや...でない［しない］（＝not ... any longer）
on sale |販売されて；特売で
on the other hand |他方では
one after another |次々と
so far |これまでは（⇔from now on これからは）；そこまでは
the other day |先日
to begin［start］ with |まず第1に（≒in the first place →1421）；最初に
to one's surprise |～が驚いたことに
as［so］ far as ... |（範囲が）...する限り（では）；（距離が）...まで
A as well as B |BだけでなくAもまた（≒not only B but （also） A →616）
both A and B |AもBも両方とも
（be） contrary to |に反して（いる）
each other |お互い（≒one another）
either A or B |AかBのどちらか
every other |1つおきの
interest |【動】に興味を抱かせる
increase |【動】増える（⇔decrease →1443）
decrease |【動】減少する（⇔increase →1442）
reduce |【動】を減らす
add |【動】を加える
please |【動】を喜ばせる；を好む
receive |【動】を受け取る，受ける
gain |【動】を得る（⇔lose →94）；を増す
spend |【動】を費やす，使う
develop |【動】を発達［発展］させる；を開発する
improve |【動】を改善する，向上させる；よくなる
lead |【動】至る；（を）導く；（相手を）リードする
reach |【動】に着く；（に）手が届く
achieve |【動】（を）成し遂げる，達成する
realize |【動】に気づく，を認識する；を実現する
solve |【動】を解決する；を解く
discover |【動】を発見する；に気づく
produce |【動】を生産［製造］する；をもたらす；を制作する
provide |【動】を供給［提供］する
encourage |【動】を励ます；を奨励する
set |【動】を設定する；を置く；（太陽などが）沈む（⇔rise →1208）
indicate |【動】を示す
include |【動】を含む（≒contain →1204）
tend |【動】（tend to doで）～する傾向がある
wish |【動】（と）願う；（を）祈る
wonder |【動】...だろうかと思う
guess |【動】を推測する
concern |【動】を心配させる；に関係する
represent |【動】を象徴する，表す；を代表する
mention |【動】のことを話に出す，言及する
explain |【動】を説明する
object |【動】反対する
select |【動】を選び出す
pick |【動】をつまんで取る；を選ぶ
author |【名】著者，作者
activity |【名】活動
experience |【名】経験；体験
end |【名】終わり；端；目的
symbol |【名】象徴，シンボル；記号
sign |【名】しるし，表れ；標識；合図
signal |【名】信号；合図；信号機
reason |【名】理由
result |【名】結果
effect |【名】効果，影響；結果（⇔cause →1375）
influence |【名】影響；影響力
rate |【名】比率，割合；速度
amount |【名】量，金額
leisure |【名】余暇，自由な時間
view |【名】意見，考え；眺め
distance |【名】距離；遠方
sense |【名】感覚；意味
moment |【名】時点；瞬間
period |【名】期間；時代（≒age，era →531）；ピリオド
century |【名】1世紀，100年（間）
research |【名】研究，調査
survey |【名】（意識）調査
company |【名】会社；仲間；同席
role |【名】役割；役柄
matter |【名】問題；困難；事；事態
situation |【名】情勢，事態；立場
case |【名】場合；事例；実情；容器
bill |【名】請求書；【英】勘定書；紙幣；法案
skill |【名】技能，技術；熟練
program |【名】（行事）計画，予定；番組；プログラム
source |【名】源；出所
system |【名】制度，システム；系統；装置
average |【名】平均（値）
balance |【名】均衡，バランス；平衡
data |【名】データ，資料；情報
item |【名】項目，品目；...個
list |【名】一覧（表），リスト
space |【名】（空いている）場所，空間；宇宙
surface |【名】表面
past |【形】過去の
ancient |【形】古代の
previous |【形】以前の，前の
recent |【形】最近の
modern |【形】現代の；最新の，近代的な
current |【形】現在の，今の
possible |【形】可能な；あり得る（⇔impossible →1318）
available |【形】利用できる；入手できる
local |【形】地元の，その地域の；各駅停車の
several |【形】いくつかの
final |【形】最後の
real |【形】現実の，実在する；真の，本物の
similar |【形】似ている；同様の
common |【形】普通の，ありふれた（⇔rare →349）；共通の
general |【形】一般的な（⇔special →88）；全体の；おおよその
usual |【形】いつもの；普通の（⇔unusual 普通ではない，異常な）
particular |【形】特定の；特別の
recognize |【動】だとわかる，を識別する；を認める
require |【動】を要求する；を必要とする
depend |【動】当てにする；...次第である
rely |【動】当てにする；信頼する
serve |【動】（食事）を出す；（に）役立つ；（に）仕える
fill |【動】を満たす（⇔empty →357）
hurt |【動】を傷つける，害する；痛む
measure |【動】を測る；寸法がある
prepare |【動】（を）準備［用意］する
mark |【動】にしるしをつける
focus |【動】焦点を絞る，集中する
promote |【動】を促進する；を昇格させる
attract |【動】を引き寄せる；を魅了する
draw |【動】を描く，（線）を引く；を引きつける；を引き起こす
relate |【動】を関連づける
connect |【動】をつなぐ；つながる，接続する
divide |【動】を分ける
regard |【動】と思う，見なす；を尊敬する
suppose |【動】だと思う，考える
identify |【動】を（同一の人［物］だと）確認する，特定する
attempt |【動】を試みる（≒try →1248）
fail |【動】をし損なう；失敗する；不合格になる
delay |【動】を遅らせる；を延期する
survive |【動】（を）生き延びる；存在し続ける
lock |【動】にかぎをかける
participate |【動】参加する
remove |【動】を取り除く；を移動させる；を脱ぐ
replace |【動】に取って代わる；を取り替える
imitate |【動】をまねる；を模造する
cross |【動】（を）横切る；（と）交差する
rent |【動】（有料で）を借りる；（有料で）を貸す
obtain |【動】（努力して）を得る
bother |【動】に迷惑をかける，を悩ます；気にかける
ignore |【動】を無視する
react |【動】反応する
seek |【動】を（追い）求める；を探す
value |【名】価値；価格
attitude |【名】態度，考え方
behavior |【名】振る舞い，行儀；行動；習性
action |【名】行動；行為
model |【名】型；モデル；模型，原型；模範
passage |【名】（文章などの）一節；通路
effort |【名】努力；苦労
progress |【名】進歩，発展；前進
breath |【名】呼吸，息
circle |【名】円，輪；仲間
center |【名】中心；中心施設；中心地［街］
friendship |【名】友情；交友関係
relation |【名】関係，関連
position |【名】位置；姿勢；立場
rest |【名】（the ～）残り；休息
deal |【名】量；取引
process |【名】過程；経過，推移
aspect |【名】（物事の）側面
row |【名】列
topic |【名】話題；主題（≒theme →407，subject →1019）
assistant |【名】助手，補佐
lack |【名】不足，ないこと
mistake |【名】間違い，誤り
trouble |【名】困難；困った事態
damage |【名】損害，悪影響
noise |【名】騒音，物音；音（≒sound →131）
variety |【名】いろいろ；種類；変化，多様性
destination |【名】目的地，行き先
aim |【名】目的，目標；狙い
field |【名】畑；競技場；分野
impression |【名】印象；（漠然とした）気持ち
risk |【名】危険；恐れ，リスク
site |【名】（インターネット上の）サイト；場所，用地
track |【名】通った跡，足跡；小道；トラック競技
medium |【名】媒体，メディア
opportunity |【名】機会
occasion |【名】（特定の）時；機会
issue |【名】問題（点）；発行；発行物
conclusion |【名】結論；終わり
transportation |【名】交通［輸送］機関；輸送
efficient |【形】効率的な，能率的な；有能な
terrible |【形】ひどい；恐ろしい
angry |【形】怒った
public |【形】公共の；大衆の，公の（⇔private →443）
whole |【形】全体の
simple |【形】簡単な；質素な
wide |【形】（範囲が）広い，幅広い
narrow |【形】（幅が）狭い
thick |【形】厚い（⇔thin →891）；濃い
opposite |【形】反対側の；（正）反対の
proud |【形】誇りに思って
dry |【形】乾燥した；乾いた（⇔wet →448）
unique |【形】独特の；唯一の；極めて特別な
worth |【形】価値がある
fair |【形】公正な，公平な
conscious |【形】意識して，気づいて；意識のある（⇔unconscious 無意識の，気づいていない）
less |【副】より少なく
least |【副】最も...でない；最も少なく（...する）
rather |【副】むしろ；かなり
quite |【副】まったく，すっかり；とても
instead |【副】その代わりに
else |【副】ほかに
probably |【副】たぶん
exactly |【副】正確に，まさに；（返答で）そのとおり
easily |【副】たやすく，簡単に（≒with ease →1695）
simply |【副】単に；簡単に；（否定文で）全然（...ない）
immediately |【副】すぐに（≒at once →1406，right away）
gradually |【副】徐々に，少しずつ（≒little by little →1424，⇔suddenly →182）
straight |【副】真っすぐに
overseas |【副】海外へ［に，で］（≒abroad →1352）
somewhere |【副】どこかに［へ，で］
anyway |【副】とにかく，いずれにしても（≒in any case［event］ →1675）；さて
furthermore |【副】さらに，その上
indeed |【副】確かに；本当に；実は
bring about |（事故・結果など）をもたらす，招く（≒cause →1375）
catch up （with / to） |（に）追いつく
do away with |をやめる，廃止する
end up （with） |（...で）終える
figure out |を解決する，理解する；を計算する
fill in |（書類など）に書き込む；（穴など）をふさぐ
get rid of |を取り除く
go through |（苦労など）を経験する（≒experience →1477）；を詳しく調べる
have nothing to do with |とまったく関係がない
keep up with |に遅れないでついていく
make sense （to） |（にとって）意味を成す，理解できる；（にとって）道理にかなう
make sure （of / that ...） |（を）確かめる；（であることを）確実にする
make up for |を埋め合わせる，償う
make up one's mind |決心する（≒decide →1230）
never fail to do |必ず～する
set off （for） |（に向けて）出発する
set out （to do） |（～することを）始める
set up |を設立する；を組み立てる
stay［sit］ up |（寝ないで）起きている
take advantage of |（機会など）を利用する；につけ込む
take in |を摂取する；（人）をだます
