インタプリタ|ソースコードを、1命令ずつ解釈して実行するプログラム
ゲートウェイ|互いに直接通信できないネットワーク同士の通信を、プロトコル変換することで可能にするネットワーク機器のこと。
デフォルトゲートウェイ|ルーティングテーブルに送信先が載っていない場合にデータを送る先として指定する。
ゲートウェイ|経路情報
ネットワークインターフェースカード|伝送媒体とコンピュータを接続する装置で、LANアダプタという
IEEE802.3|有線LAN
IEEE802.11|無線LAN
アドホックモード|IEEE802.3で使用可能。アクセスポイントなしで2台の端末を直接通信させる
暗号方式(3つ)|WEP WPA WPA2
ESSID|複数のアクセスポイントを設置したネットワークに対しても使用できるように拡張したもの。
ステルスモード|セキュリティ対策のため、ESSIDの発信を停止し端末上のアクセスポイント一覧に表示されないようにする。
パケット交換方式|パケットに分けて通信する方法
回線交換方式|通信の旅に利用者間の通信経路を占有する方式で、接続速度や回線品質の保証を行いやすい。
VoIP(Voice Over IP)|音声エータをパケット化し、シアルタイムに送受信する技術
プロトコル|通信上の伝達を円滑にするための約束事
TCP/IP(Transmission Control Protocol)|インターネットで広く使われているプロトコル体系。
デファクトスタンダード|市場原理によって最も多くのユーザを獲得し、事実上の標準となったもの
HTTP|WebサーバとWebブラウザ間でデータを送受信するときに使われるプロトコル。
FTP|ファイルを転送するときに使われるプロトコル。WebページをWebサーバにアップロードするときや、アプリケーションをダウンロードするときに使われている。
anonymous FTP|不特定タスの利用者が自由にファイル転送を行えるようにした仕組み。
Telnet|遠隔地にあるコンピュータを操作するときに使われるプロトコル。
SMTP|メールを受信、配送するときに使われる。
POP|メールを受信する時に使われる。POP3とも呼ばれる。
IMAP|POPと同じ役割 メールをダウンロードせず、サーバ側にメールが保存され、サーバにあるメールを読んだり、削除振り分け、検索をすることができる。
IPアドレス|情報機器における住所みたいなもの。32ビットの識別番号、8ビット単位で10進数に変換。ネットワーク部とホスト部に分かれる。
DNSサーバ|IPアドレスとドメイン名を関連付けるサーバ。
グローバルアドレス|インターネットに接続する際に割り当てられる。
プライベートアドレス|LANなどローカルなネットワークで割り当てられるアドレス。
DHCP(Dynamic Host Configuration Protocol)|PCからの要求によって動的にIPアドレスを割り当てることで、IPアドレスの管理が効率的にできるプロトコル
NAT(Network Address Translation)|プライベートアドレスとグローバルアドれるの相互交換をする技術
NAPT(Network Address Port Translation)|ポート番号を利用して1体複数に対応させ、グローバルアドレスを有効に活用する。
MIME(Multipurpose Internet Mail Extension)|電子メールで送信できる形式として、テキストだけでなく音声や画像などのマルチメディア情報を扱えるようにする規格。
同報メール|CCやBCCのこと
特定電子メール|広告や宣伝など営利目的で送信される電子メールのこと。
オプトイン|メール送信時にあらかじめ受信者の承諾を得ておく必要がある。
プロバイダ|インターネットへの接続サービスを提供する業者
